source_document,medicine_or_category,alert_type,key_insight,region_mentioned
WHO_Global_Surveillance_2017,General Medical Products,Global Case Study,"64 A cAse in point In September 2013, a hospital in Paraguay admitted 44 children in quick succession.",Cross-Border (Pakistan/Paraguay/India)
WHO_Global_Surveillance_2017,General Medical Products,Global Case Study,The story was worryingly familiar to that team who had seen a similar case in a completely different part of the world: Pakistan.,Cross-Border (Pakistan/Paraguay/India)
WHO_Global_Surveillance_2017,Cough Syrup,Global Case Study,"In that earlier case, 60 adults in two cities in Pakistan had died after consuming large quantities of cough syrup as part of their drug addiction.",Cross-Border (Pakistan/Paraguay/India)
WHO_Global_Surveillance_2017,General Medical Products,Global Case Study,The Government of Pakistan had acted quickly to suspend production of the medicine by two local manufacturers (Fig.,Cross-Border (Pakistan/Paraguay/India)
WHO_Global_Surveillance_2017,Cough Syrup,Global Case Study,"The authorities in Pakistan recalled the remaining stock and the active ingredient, dextromethorphan, which had been imported from India.",Cross-Border (Pakistan/Paraguay/India)
WHO_Global_Surveillance_2017,Cough Syrup,Global Case Study,The medicines appeared to contain the correct amount of dextromethorphan; there was no clear indication of why patients taking it had died.,Global
WHO_Global_Surveillance_2017,General Medical Products,Global Case Study,Authorities in Pakistan requested WHO to help to investigate further.,Cross-Border (Pakistan/Paraguay/India)
WHO_Global_Surveillance_2017,Cough Syrup,Global Case Study,"Tests in laboratories overseas revealed that, together with the advertised ingredients, the cough syrup contained levomethorphan, a more powerful drug with the same molecular formula as dextromethorphan, but a different chemical structure.",Global
WHO_Global_Surveillance_2017,General Medical Products,Global Case Study,"Ten months later, Paraguay seemed to be facing a similar crisis.",Cross-Border (Pakistan/Paraguay/India)
WHO_Global_Surveillance_2017,Cough Syrup,Global Case Study,"They also knew that unless they acted quickly, patients could die.Paraguayan investigators went to the factory where they found import records for the dextromethorphan in the cough medicines the sick children had taken.",Cross-Border (Pakistan/Paraguay/India)
WHO_Global_Surveillance_2017,General Medical Products,Global Case Study,"A quick check against the WHO substandard and falsified medical products database showed that it came from the same Indian manufacturer that had supplied the factory in Pakistan; indeed, it had the same batch number.",Cross-Border (Pakistan/Paraguay/India)
WHO_Global_Surveillance_2017,General Medical Products,Global Case Study,"Within days of reporting their concerns, doctors in Paraguay were able to treat their patients with an antidote to levomethorphan and, because of this quick action, the patients survived.",Cross-Border (Pakistan/Paraguay/India)
WHO_Global_Surveillance_2017,Cough Syrup,Global Case Study,"WHO provided support to investigate the incident more thoroughly, and issued a second alert listing the batch numbers of all the dextromethorphan that might have been contaminated.",Global
WHO_Global_Surveillance_2017,Cough Syrup,Statistical Risk,"1: BOTTLES OF COUGH SYRUP CONTAINING LEVOMETHORPHAN THAT CAUSED DEATHS IN P AKISTAN 2012-13 ©Medicines and Healthcare Products Regulatory Agency, UK 1 …FOR SUBSTANDARD AND F ALSIFIED MEDICAL PRODUCTS The contaminated cough medicine provides a clear illustration of the worrying problem of substandard and falsified medical products, a problem that appears to be growing as global supply chains become more complex and e-commerce spreads.",Global
WHO_Global_Surveillance_2017,General Medical Products,Global Case Study,"It links incidents and countries, which not only assists regulatory authorities but ultimately can have beneficial outcomes for patients, as seen in the case in Pakistan and Paraguay.",Cross-Border (Pakistan/Paraguay/India)
WHO_Global_Surveillance_2017,General Medical Products,Statistical Risk,3 …FOR SUBSTANDARD AND F ALSIFIED MEDICAL PRODUCTS 10.5%.,Global
WHO_Global_Surveillance_2017,Cough Syrup,Global Case Study,"They may contain contaminants (as was the case with the cough medicines in Pakistan and Paraguay), or no active ingredient at all.",Cross-Border (Pakistan/Paraguay/India)
WHO_Global_Surveillance_2017,Antimalarials,Statistical Risk,"There is clear evidence that resistance to the most important antimalarial medicine, artemisinin, first appeared in a part of the world where at one point between 38 and 90% of the artemisinin medicines on the market were substandard or falsified ( 5–7).",Global
WHO_Global_Surveillance_2017,General Medical Products,Global Case Study,"The international policing organization INTERPOL has reported that some organized criminal networks are using profits from falsified medicine operations to subsidize other clandestine activities ( 9).The box below summarizes the consequences of substandard and falsified medical products, as detailed in the preceding chapter.",Global
WHO_Global_Surveillance_2017,General Medical Products,Statistical Risk,"5: PERCENTAGE OF REPORTS FROM EACH WHO REGION TO THE GSMS (2013–2017) WHO African Region WHO European Region WHO Region of the Americas WHO Western Paciﬁc Region WHO Eastern Mediterranean Region WHO South-East Asia Region42%6% 21%21%8% 2% 12 WHO GLOBAL SURVEILLANCE AND MONITORING SYSTEM … Taken together, these data strongly suggest that the greater the efforts made to look for substandard and falsified medical products, the more of them are found.",Africa
WHO_Global_Surveillance_2017,General Medical Products,Global Case Study,"For example, in 2016, 103 countries were involved in the annual operation Pangea (coordinated by INTERPOL), now in its tenth year, which led to the suspension of 4932 Internet pharmacies and nearly 400 arrests ( 13).",Global
WHO_Global_Surveillance_2017,General Medical Products,Statistical Risk,"Substandard medical products are usually properly packaged, often bought through trusted supply chains, and often also contain a percentage of the correct active ingredient.",Global
WHO_Global_Surveillance_2017,General Medical Products,Global Case Study,"In Asunción, the capital of Paraguay, for example, at least three laboratories were dismantled within a period of just a few months in late 2013 and early 2014; in July 2017, a televised report by police in a different area of Paraguay stated that raids on another underground laboratory had again found large quantities of falsified misoprostol.",Cross-Border (Pakistan/Paraguay/India)
WHO_Global_Surveillance_2017,Antibiotics,Statistical Risk,"As Table 1 in section 3.3 showed, antibiotics (many of which sell relatively cheaply, but in huge quantities) account for 17% of the falsified products reported so far.",Global
WHO_Global_Surveillance_2017,General Medical Products,Global Case Study,"35 …FOR SUBSTANDARD AND F ALSIFIED MEDICAL PRODUCTS The international policing agency INTERPOL believes that organized criminal networks that were once known for dominating the illicit drug market are now targeting the medicine trade because profits are high, the risks of detection and successful prosecution are low, and the penalties, if prosecution does succeed, are almost negligible compared with those incurred for large-scale drug trafficking.",Global
WHO_Global_Surveillance_2017,General Medical Products,Global Case Study,"In late 2011, hundreds of patients began arriving at hospitals in Lahore, Pakistan.",Cross-Border (Pakistan/Paraguay/India)
WHO_Global_Surveillance_2017,General Medical Products,Statistical Risk,"While in this case they were seized at the port of entry to Nigeria, many falsified products find their way into the supply chain, eventually reaching patients.",Global
WHO_Global_Surveillance_2017,Cough Syrup,Global Case Study,"In several of the cases cited so far, including that of cough syrup in Pakistan and Paraguay, ephedrine in Afghanistan and paracetamol in the Democratic Republic of the Congo, national authorities could not perform the sophisticated tests that would allow them to ascertain the composition of a medicine that was apparently harming patients.",Cross-Border (Pakistan/Paraguay/India)
WHO_Global_Surveillance_2017,Cough Syrup,Global Case Study,That dynamic was seen in the case of cough syrup in Pakistan and Paraguay described at the beginning of this report.,Cross-Border (Pakistan/Paraguay/India)
WHO_Global_Surveillance_2017,General Medical Products,Global Case Study,Pakistan’s response helped with the rapid detection of contaminated product in Paraguay and other countries.,Cross-Border (Pakistan/Paraguay/India)
WHO_Global_Surveillance_2017,Cough Syrup,Global Case Study,"6 For example, they helped to develop the 49 …FOR SUBSTANDARD AND F ALSIFIED MEDICAL PRODUCTS testing methods for the contaminant levomethorphan, which proved so critical in the cough medicine case in Pakistan, Paraguay and beyond.",Cross-Border (Pakistan/Paraguay/India)
WHO_Global_Surveillance_2017,Cough Syrup,Global Case Study,"The cross-referencing system within the GSMS database allowed for the rapid identification of the toxic cough syrup in Paraguay, mentioned at the start of this report, and led to the seizure of medicines before they reached the market in other countries.",Cross-Border (Pakistan/Paraguay/India)
WHO_Global_Surveillance_2017,General Medical Products,Global Case Study,Online sale of fake medicines and products targeted in INTERPOL operation.,Global
